P1,P2,Weight
300,319,0.8926180020541369
318,319,0.5936443924712849
13,14,-0.1532379238071421
13,31,0.2435244837393342
31,14,0.2961259884689873
31,32,0.6817135162782886
31,49,0.9181643334635528
49,32,0.9297521640155444
49,50,0.9982153206001496
49,67,0.8830276192531098
67,50,0.8830276192531098
67,68,0.6155129809391914
67,85,0.2151199880878155
85,68,0.252403239030284
85,86,-0.1386344768643796
85,103,-0.5681672268584413
103,86,-0.494191001163918
103,104,-0.7674527255292299
103,121,-0.977603638465729
121,104,-0.9351702861596852
121,122,-0.9983584016829592
121,139,-0.9045867109767788
139,122,-0.977530117665097
139,140,-0.9045867109767788
139,157,-0.591827836370865
157,140,-0.8140454157770366
157,158,-0.735926658619139
157,175,-0.3507832276896194
175,158,-0.6914773966101274
175,176,-0.6914773966101274
175,193,-0.3507832276896194
193,176,-0.735926658619139
193,194,-0.8140454157770366
193,211,-0.591827836370865
211,194,-0.9045867109767788
211,212,-0.977530117665097
211,229,-0.9045867109767788
229,212,-0.9983584016829592
229,230,-0.9351702861596852
229,247,-0.977603638465729
247,230,-0.7674527255292299
247,248,-0.494191001163918
247,265,-0.5681672268584413
265,248,-0.1386344768643796
265,266,0.252403239030284
265,283,0.2151199880878155
283,266,0.6155129809391914
283,284,0.8830276192531098
283,301,0.8830276192531098
301,284,0.9982153206001496
301,302,0.9297521640155444
301,319,0.9181643334635528
319,302,0.6817135162782886
319,320,0.2961259884689873
14,15,-0.5121202140244393
14,32,0.3222215451127417
14,33,-0.1013272832602712
32,33,0.3222215451127417
32,50,0.9297521640155444
32,51,0.6817135162782886
50,51,0.9181643334635528
50,68,0.8984115613773844
50,69,0.9999914501190752
68,69,0.9258984372844145
68,86,0.3251713981320959
68,87,0.7212035240830527
86,87,0.4292179343260667
86,104,-0.3785898330448362
86,105,0.1002188341819074
104,105,-0.2192127099952987
104,122,-0.8496696124064033
104,123,-0.494191001163918
122,123,-0.7055403255703919
122,140,-0.9983584016829592
122,141,-0.8496696124064033
140,141,-0.9351702861596852
140,158,-0.9642251281632545
140,159,-0.977603638465729
158,159,-0.9940178111289956
158,176,-0.927823252743304
158,177,-0.9983584016829592
176,177,-0.9983584016829592
176,194,-0.9642251281632545
176,195,-0.9940178111289956
194,195,-0.977603638465729
194,212,-0.9983584016829592
194,213,-0.9351702861596852
212,213,-0.8496696124064033
212,230,-0.8496696124064033
212,231,-0.7055403255703919
230,231,-0.494191001163918
230,248,-0.3785898330448362
230,249,-0.2192127099952987
248,249,0.1002188341819074
248,266,0.3251713981320959
248,267,0.4292179343260667
266,267,0.7212035240830527
266,284,0.8984115613773844
266,285,0.9258984372844145
284,285,0.9999914501190752
284,302,0.9297521640155444
284,303,0.9181643334635528
302,303,0.6817135162782886
302,320,0.3222215451127417
302,321,0.3222215451127417
320,321,-0.1013272832602712
15,16,-0.8302455463505097
15,33,-0.5121202140244393
33,16,-0.5334838726642068
33,34,-0.1532379238071421
33,51,0.2961259884689873
51,34,0.2435244837393342
51,52,0.5936443924712849
51,69,0.8926180020541369
69,52,0.8486754940427508
69,70,0.9814798511409962
69,87,0.958924944344792
87,70,0.9877664589825208
87,88,0.8830276192531098
87,105,0.5569244681683874
105,88,0.6962663768365805
105,106,0.4623904909451666
105,123,-0.0182022588233763
123,106,0.2151199880878155
123,124,-0.0182022588233763
123,141,-0.494191001163918
141,124,-0.2192127099952987
141,142,-0.3785898330448362
141,159,-0.7674527255292299
159,142,-0.494191001163918
159,160,-0.5681672268584413
159,177,-0.8738337560726113
177,160,-0.6039688631641295
177,178,-0.6039688631641295
177,195,-0.8738337560726113
195,178,-0.5681672268584413
195,196,-0.494191001163918
195,213,-0.7674527255292299
213,196,-0.3785898330448362
213,214,-0.2192127099952987
213,231,-0.494191001163918
231,214,-0.0182022588233763
231,232,0.2151199880878155
231,249,-0.0182022588233763
249,232,0.4623904909451666
249,250,0.6962663768365805
249,267,0.5569244681683874
267,250,0.8830276192531098
267,268,0.9877664589825208
267,285,0.958924944344792
285,268,0.9814798511409962
285,286,0.8486754940427508
285,303,0.8926180020541369
303,286,0.5936443924712849
303,304,0.2435244837393342
303,321,0.2961259884689873
321,304,-0.1532379238071421
321,322,-0.5334838726642068
16,17,-0.9951698010316656
16,34,-0.5750391407209322
16,35,-0.87969575997167
34,35,-0.6342949941088823
34,52,0.163905468572637
34,53,-0.3042806746109479
52,53,0.0572496441321156
52,70,0.7804697960020524
52,71,0.3994343662553819
70,71,0.6817135162782886
70,88,0.9999914501190752
70,89,0.8786996699526517
88,89,0.9814798511409962
88,106,0.8303492934724779
88,107,0.9957806905528952
106,107,0.9379999767747388
106,124,0.4623904909451666
106,125,0.8303492934724779
124,125,0.6962663768365805
124,142,0.1002188341819074
124,143,0.5569244681683874
142,143,0.4292179343260667
142,160,-0.1386344768643796
142,161,0.3251713981320959
160,161,0.252403239030284
160,178,-0.2192127099952987
160,179,0.2151199880878155
178,179,0.2151199880878155
178,196,-0.1386344768643796
178,197,0.252403239030284
196,197,0.3251713981320959
196,214,0.1002188341819074
196,215,0.4292179343260667
214,215,0.5569244681683874
214,232,0.4623904909451666
214,233,0.6962663768365805
232,233,0.8303492934724779
232,250,0.8303492934724779
232,251,0.9379999767747388
250,251,0.9957806905528952
250,268,0.9999914501190752
250,269,0.9814798511409962
268,269,0.8786996699526517
268,286,0.7804697960020524
268,287,0.6817135162782886
286,287,0.3994343662553819
286,304,0.163905468572637
286,305,0.0572496441321156
304,305,-0.3042806746109479
304,322,-0.5750391407209322
304,323,-0.6342949941088823
322,323,-0.87969575997167
17,35,-0.9995584471545887
35,53,-0.7071865412769704
53,71,-0.0751511204618093
71,89,0.5470825314519259
89,107,0.9181643334635528
107,125,0.995780690552895
125,143,0.8830276192531098
143,161,0.7212035240830521
161,179,0.6155129809391914
179,197,0.6155129809391914
197,215,0.7212035240830521
215,233,0.8830276192531098
233,251,0.995780690552895
251,269,0.9181643334635528
269,287,0.5470825314519259
287,305,-0.0751511204618093
305,323,-0.7071865412769704
