# S1,S2,S3,S4,Weight
1.300000000000000000e+01,2.600000000000000000e+01,2.700000000000000000e+01,6.900000000000000000e+01,-7.137312888398399391e-01
2.600000000000000000e+01,5.400000000000000000e+01,6.800000000000000000e+01,6.900000000000000000e+01,-4.003402699540625775e-01
1.300000000000000000e+01,5.400000000000000000e+01,5.500000000000000000e+01,6.900000000000000000e+01,-7.137312888398399391e-01
1.300000000000000000e+01,2.600000000000000000e+01,5.400000000000000000e+01,6.900000000000000000e+01,-5.573654389332799441e-01
1.400000000000000000e+01,5.600000000000000000e+01,5.700000000000000000e+01,7.000000000000000000e+01,9.258262666991546874e-01
2.900000000000000000e+01,5.700000000000000000e+01,7.000000000000000000e+01,7.100000000000000000e+01,9.978046670976938870e-01
1.400000000000000000e+01,1.500000000000000000e+01,2.900000000000000000e+01,5.700000000000000000e+01,9.258262666991546874e-01
1.400000000000000000e+01,2.800000000000000000e+01,2.900000000000000000e+01,7.000000000000000000e+01,9.898625330819047496e-01
1.400000000000000000e+01,2.900000000000000000e+01,5.700000000000000000e+01,7.000000000000000000e+01,9.703440150142714771e-01
1.500000000000000000e+01,1.600000000000000000e+01,2.900000000000000000e+01,5.700000000000000000e+01,9.898625330819047496e-01
1.600000000000000000e+01,2.900000000000000000e+01,3.000000000000000000e+01,7.200000000000000000e+01,9.134235880824577158e-01
2.900000000000000000e+01,5.700000000000000000e+01,7.100000000000000000e+01,7.200000000000000000e+01,9.685923677734660231e-01
1.600000000000000000e+01,5.700000000000000000e+01,5.800000000000000000e+01,7.200000000000000000e+01,9.685923677734661341e-01
1.600000000000000000e+01,2.900000000000000000e+01,5.700000000000000000e+01,7.200000000000000000e+01,9.851135115328454317e-01
1.600000000000000000e+01,5.800000000000000000e+01,5.900000000000000000e+01,7.200000000000000000e+01,8.397548672758184951e-01
3.100000000000000000e+01,5.900000000000000000e+01,7.200000000000000000e+01,7.300000000000000000e+01,4.491153976661860225e-01
