S1,S2,S3,Weight
587,622,623,1000
622,623,658,1000
623,658,659,1000
658,659,694,1000
659,694,695,1000
694,695,730,1000
695,730,731,1000
730,731,766,1000
731,766,767,0
766,767,802,0
767,802,803,0
802,803,838,1000
803,838,839,1000
838,839,874,1000
839,874,875,1000
874,875,910,1000
875,910,911,1000
910,911,946,1000
911,946,947,1000
946,947,982,1000
947,982,983,1000
982,983,1018,1000
983,1018,1019,1000
1018,1019,1054,1000
1019,1054,1055,1000
1054,1055,1090,1000
1055,1090,1091,1000
1090,1091,1126,1000
1091,1126,1127,1000
1126,1127,1162,1000
1127,1162,1163,1000
1162,1163,1198,1000
1163,1198,1199,1000
1198,1199,1234,1000
1199,1234,1235,1000
1234,1235,1270,1000
1235,1270,1271,1000
11,12,48,1000
11,47,48,1000
47,48,84,1000
47,83,84,1000
83,84,120,1000
83,119,120,1000
119,120,156,1000
119,155,156,1000
155,156,192,1000
155,191,192,1000
191,192,228,1000
191,227,228,1000
227,228,264,1000
227,263,264,1000
263,264,300,1000
263,299,300,1000
299,300,336,1000
299,335,336,1000
335,336,372,1000
335,371,372,1000
371,372,408,1000
371,407,408,1000
407,408,444,1000
407,443,444,1000
443,444,480,1000
443,479,480,1000
479,480,516,1000
479,515,516,0
515,516,552,0
515,551,552,0
551,552,588,0
551,587,588,1000
587,588,624,1000
587,623,624,1000
623,624,660,1000
623,659,660,1000
659,660,696,1000
659,695,696,1000
695,696,732,1000
695,731,732,1000
731,732,768,0
731,767,768,0
767,768,804,0
767,803,804,0
803,804,840,1000
803,839,840,1000
839,840,876,1000
839,875,876,1000
875,876,912,1000
875,911,912,1000
911,912,948,1000
911,947,948,1000
947,948,984,1000
947,983,984,1000
983,984,1020,1000
983,1019,1020,1000
1019,1020,1056,1000
1019,1055,1056,1000
1055,1056,1092,1000
1055,1091,1092,1000
1091,1092,1128,1000
1091,1127,1128,1000
1127,1128,1164,1000
1127,1163,1164,1000
1163,1164,1200,1000
1163,1199,1200,1000
1199,1200,1236,1000
1199,1235,1236,1000
1235,1236,1272,1000
1235,1271,1272,1000
12,13,48,1000
13,48,49,1000
48,49,84,1000
49,84,85,1000
84,85,120,1000
85,120,121,1000
120,121,156,1000
121,156,157,1000
156,157,192,1000
157,192,193,1000
192,193,228,1000
193,228,229,1000
228,229,264,1000
229,264,265,1000
264,265,300,1000
265,300,301,1000
300,301,336,1000
301,336,337,1000
336,337,372,1000
337,372,373,1000
372,373,408,1000
373,408,409,1000
408,409,444,1000
409,444,445,1000
444,445,480,1000
445,480,481,1000
480,481,516,1000
481,516,517,1000
516,517,552,0
517,552,553,0
552,553,588,0
553,588,589,0
588,589,624,1000
589,624,625,1000
624,625,660,1000
625,660,661,1000
660,661,696,1000
661,696,697,1000
696,697,732,1000
697,732,733,0
732,733,768,0
733,768,769,0
768,769,804,0
769,804,805,1000
804,805,840,1000
805,840,841,1000
840,841,876,1000
841,876,877,1000
876,877,912,1000
877,912,913,1000
912,913,948,1000
913,948,949,1000
948,949,984,1000
949,984,985,1000
984,985,1020,1000
985,1020,1021,1000
1020,1021,1056,1000
1021,1056,1057,1000
1056,1057,1092,1000
1057,1092,1093,1000
1092,1093,1128,1000
1093,1128,1129,1000
1128,1129,1164,1000
1129,1164,1165,1000
1164,1165,1200,1000
1165,1200,1201,1000
1200,1201,1236,1000
1201,1236,1237,1000
1236,1237,1272,1000
1237,1272,1273,1000
13,14,50,1000
13,49,50,1000
49,50,86,1000
49,85,86,1000
85,86,122,1000
85,121,122,1000
121,122,158,1000
121,157,158,1000
157,158,194,1000
157,193,194,1000
193,194,230,1000
193,229,230,1000
229,230,266,1000
229,265,266,1000
265,266,302,1000
265,301,302,1000
301,302,338,1000
301,337,338,1000
337,338,374,1000
337,373,374,1000
373,374,410,1000
373,409,410,1000
409,410,446,1000
409,445,446,1000
445,446,482,1000
445,481,482,1000
481,482,518,1000
481,517,518,1000
517,518,554,1000
517,553,554,0
553,554,590,0
553,589,590,0
589,590,626,1000
589,625,626,1000
625,626,662,1000
625,661,662,1000
661,662,698,1000
661,697,698,1000
697,698,734,1000
697,733,734,0
733,734,770,0
733,769,770,0
769,770,806,1000
769,805,806,1000
805,806,842,1000
805,841,842,1000
841,842,878,1000
841,877,878,1000
877,878,914,1000
877,913,914,1000
913,914,950,1000
913,949,950,1000
949,950,986,1000
949,985,986,1000
985,986,1022,1000
985,1021,1022,1000
1021,1022,1058,1000
1021,1057,1058,1000
1057,1058,1094,1000
1057,1093,1094,1000
1093,1094,1130,1000
1093,1129,1130,1000
1129,1130,1166,1000
1129,1165,1166,1000
1165,1166,1202,1000
1165,1201,1202,1000
1201,1202,1238,1000
1201,1237,1238,1000
1237,1238,1274,1000
1237,1273,1274,1000
14,15,50,1000
15,50,51,1000
50,51,86,1000
51,86,87,1000
86,87,122,1000
87,122,123,1000
122,123,158,1000
123,158,159,1000
158,159,194,1000
159,194,195,1000
194,195,230,1000
195,230,231,1000
230,231,266,1000
231,266,267,1000
266,267,302,1000
267,302,303,1000
302,303,338,1000
303,338,339,1000
338,339,374,1000
339,374,375,1000
374,375,410,1000
375,410,411,1000
410,411,446,1000
411,446,447,1000
446,447,482,1000
447,482,483,1000
482,483,518,1000
483,518,519,1000
518,519,554,1000
519,554,555,1000
554,555,590,1000
555,590,591,1000
590,591,626,1000
591,626,627,1000
626,627,662,1000
627,662,663,1000
662,663,698,1000
663,698,699,1000
698,699,734,1000
699,734,735,1000
734,735,770,1000
735,770,771,1000
770,771,806,1000
771,806,807,1000
806,807,842,1000
807,842,843,1000
842,843,878,1000
843,878,879,1000
878,879,914,1000
879,914,915,1000
914,915,950,1000
915,950,951,1000
950,951,986,1000
951,986,987,1000
986,987,1022,1000
987,1022,1023,1000
1022,1023,1058,1000
1023,1058,1059,1000
1058,1059,1094,1000
1059,1094,1095,1000
1094,1095,1130,1000
1095,1130,1131,1000
1130,1131,1166,1000
1131,1166,1167,1000
1166,1167,1202,1000
1167,1202,1203,1000
1202,1203,1238,1000
1203,1238,1239,1000
1238,1239,1274,1000
1239,1274,1275,1000
15,16,52,1000
15,51,52,1000
51,52,88,1000
51,87,88,1000
87,88,124,1000
87,123,124,1000
123,124,160,1000
123,159,160,1000
159,160,196,1000
159,195,196,1000
195,196,232,1000
195,231,232,1000
231,232,268,1000
231,267,268,1000
267,268,304,1000
267,303,304,1000
303,304,340,1000
303,339,340,1000
339,340,376,1000
339,375,376,1000
375,376,412,1000
375,411,412,1000
411,412,448,1000
411,447,448,1000
447,448,484,1000
447,483,484,1000
483,484,520,1000
483,519,520,1000
519,520,556,1000
519,555,556,1000
555,556,592,1000
555,591,592,1000
591,592,628,1000
591,627,628,1000
627,628,664,1000
627,663,664,1000
663,664,700,1000
663,699,700,1000
699,700,736,1000
699,735,736,1000
735,736,772,1000
735,771,772,1000
771,772,808,1000
771,807,808,1000
807,808,844,1000
807,843,844,1000
843,844,880,1000
843,879,880,1000
879,880,916,1000
879,915,916,1000
915,916,952,1000
915,951,952,1000
951,952,988,1000
951,987,988,1000
987,988,1024,1000
987,1023,1024,1000
1023,1024,1060,1000
1023,1059,1060,1000
1059,1060,1096,1000
1059,1095,1096,1000
1095,1096,1132,1000
1095,1131,1132,1000
1131,1132,1168,1000
1131,1167,1168,1000
1167,1168,1204,1000
1167,1203,1204,1000
1203,1204,1240,1000
1203,1239,1240,1000
1239,1240,1276,1000
1239,1275,1276,1000
16,17,52,1000
17,52,53,1000
52,53,88,1000
53,88,89,1000
88,89,124,1000
89,124,125,1000
124,125,160,1000
125,160,161,1000
160,161,196,1000
161,196,197,1000
196,197,232,1000
197,232,233,1000
232,233,268,1000
233,268,269,1000
268,269,304,1000
269,304,305,1000
304,305,340,1000
305,340,341,1000
340,341,376,1000
341,376,377,1000
376,377,412,1000
377,412,413,1000
412,413,448,1000
413,448,449,1000
448,449,484,1000
449,484,485,1000
484,485,520,1000
485,520,521,1000
520,521,556,1000
521,556,557,1000
556,557,592,1000
557,592,593,1000
592,593,628,1000
593,628,629,1000
628,629,664,1000
629,664,665,0
664,665,700,1000
665,700,701,1000
700,701,736,1000
701,736,737,1000
736,737,772,1000
737,772,773,1000
772,773,808,1000
773,808,809,1000
808,809,844,1000
809,844,845,1000
844,845,880,1000
845,880,881,1000
880,881,916,1000
881,916,917,1000
916,917,952,1000
917,952,953,1000
952,953,988,1000
953,988,989,1000
988,989,1024,1000
989,1024,1025,1000
1024,1025,1060,1000
1025,1060,1061,1000
1060,1061,1096,1000
1061,1096,1097,1000
1096,1097,1132,1000
1097,1132,1133,1000
1132,1133,1168,1000
1133,1168,1169,1000
1168,1169,1204,1000
1169,1204,1205,1000
1204,1205,1240,1000
1205,1240,1241,1000
1240,1241,1276,1000
1241,1276,1277,1000
17,18,54,1000
17,53,54,1000
53,54,90,1000
53,89,90,1000
89,90,126,1000
89,125,126,1000
125,126,162,1000
125,161,162,1000
161,162,198,1000
161,197,198,1000
197,198,234,1000
197,233,234,1000
233,234,270,1000
233,269,270,1000
269,270,306,1000
269,305,306,1000
305,306,342,1000
305,341,342,1000
341,342,378,1000
341,377,378,1000
377,378,414,0
377,413,414,0
413,414,450,0
413,449,450,0
449,450,486,0
449,485,486,0
485,486,522,0
485,521,522,1000
521,522,558,1000
521,557,558,1000
557,558,594,1000
557,593,594,1000
593,594,630,1000
593,629,630,0
629,630,666,0
629,665,666,0
665,666,702,0
665,701,702,0
701,702,738,1000
701,737,738,1000
737,738,774,1000
737,773,774,1000
773,774,810,1000
773,809,810,1000
809,810,846,0
809,845,846,0
845,846,882,0
845,881,882,0
881,882,918,0
881,917,918,0
917,918,954,0
917,953,954,1000
953,954,990,1000
953,989,990,1000
989,990,1026,1000
989,1025,1026,1000
1025,1026,1062,1000
1025,1061,1062,1000
1061,1062,1098,1000
1061,1097,1098,1000
1097,1098,1134,1000
1097,1133,1134,1000
1133,1134,1170,1000
1133,1169,1170,1000
1169,1170,1206,1000
1169,1205,1206,1000
1205,1206,1242,1000
1205,1241,1242,1000
1241,1242,1278,1000
1241,1277,1278,1000
18,19,54,1000
19,54,55,1000
54,55,90,1000
55,90,91,1000
90,91,126,1000
91,126,127,1000
126,127,162,1000
127,162,163,1000
162,163,198,1000
163,198,199,1000
198,199,234,1000
199,234,235,1000
234,235,270,1000
235,270,271,1000
270,271,306,1000
271,306,307,1000
306,307,342,1000
307,342,343,1000
342,343,378,1000
343,378,379,1000
378,379,414,0
379,414,415,0
414,415,450,0
415,450,451,0
450,451,486,0
451,486,487,0
486,487,522,0
487,522,523,1000
522,523,558,1000
523,558,559,1000
558,559,594,1000
559,594,595,1000
594,595,630,1000
595,630,631,0
630,631,666,0
631,666,667,0
666,667,702,0
667,702,703,0
702,703,738,1000
703,738,739,1000
738,739,774,1000
739,774,775,1000
774,775,810,1000
775,810,811,1000
810,811,846,0
811,846,847,0
846,847,882,0
847,882,883,0
882,883,918,0
883,918,919,0
918,919,954,0
919,954,955,1000
954,955,990,1000
955,990,991,1000
990,991,1026,1000
991,1026,1027,1000
1026,1027,1062,1000
1027,1062,1063,1000
1062,1063,1098,1000
1063,1098,1099,1000
1098,1099,1134,1000
1099,1134,1135,1000
1134,1135,1170,1000
1135,1170,1171,1000
1170,1171,1206,1000
1171,1206,1207,1000
1206,1207,1242,1000
1207,1242,1243,1000
1242,1243,1278,1000
1243,1278,1279,1000
19,20,56,1000
19,55,56,1000
55,56,92,1000
55,91,92,1000
91,92,128,1000
91,127,128,1000
