Node Number,X,Y,Z,Weight
153,-13.5,-7.794228634059947,0.0,1000
154,-14.0,-6.928203230275509,0.0,1000
155,-13.5,-6.06217782649107,0.0,1000
156,-14.0,-5.196152422706632,0.0,1000
157,-13.5,-4.330127018922193,0.0,1000
158,-14.0,-3.4641016151377544,0.0,1000
159,-13.5,-2.598076211353316,0.0,1000
160,-14.0,-1.7320508075688772,0.0,1000
161,-13.5,-0.8660254037844386,0.0,1000
162,-14.0,0.0,0.0,1000
163,-13.5,0.8660254037844386,0.0,1000
164,-14.0,1.7320508075688772,0.0,1000
165,-13.5,2.598076211353316,0.0,1000
166,-14.0,3.4641016151377544,0.0,1000
167,-13.5,4.330127018922193,0.0,1000
168,-14.0,5.196152422706632,0.0,1000
169,-13.5,6.06217782649107,0.0,1000
170,-14.0,6.928203230275509,0.0,1000
171,-13.5,7.794228634059947,0.0,1000
172,-14.0,8.660254037844386,0.0,1000
173,-13.5,9.526279441628825,0.0,1000
174,-14.0,10.392304845413264,0.0,1000
175,-13.5,11.258330249197702,0.0,1000
176,-14.0,12.12435565298214,0.0,1000
177,-13.5,12.990381056766578,0.0,1000
178,-14.0,13.856406460551018,0.0,1000
179,-13.5,14.722431864335457,0.0,1000
180,-13.0,-15.588457268119894,0.0,1000
181,-12.5,-14.722431864335457,0.0,1000
182,-13.0,-13.856406460551018,0.0,1000
183,-12.5,-12.990381056766578,0.0,1000
184,-13.0,-12.12435565298214,0.0,1000
185,-12.5,-11.258330249197702,0.0,1000
186,-13.0,-10.392304845413264,0.0,1000
187,-12.5,-9.526279441628825,0.0,1000
188,-13.0,-8.660254037844386,0.0,1000
189,-12.5,-7.794228634059947,0.0,1000
190,-13.0,-6.928203230275509,0.0,1000
191,-12.5,-6.06217782649107,0.0,1000
192,-13.0,-5.196152422706632,0.0,1000
193,-12.5,-4.330127018922193,0.0,1000
194,-13.0,-3.4641016151377544,0.0,1000
195,-12.5,-2.598076211353316,0.0,1000
196,-13.0,-1.7320508075688772,0.0,1000
197,-12.5,-0.8660254037844386,0.0,1000
198,-13.0,0.0,0.0,1000
199,-12.5,0.8660254037844386,0.0,1000
200,-13.0,1.7320508075688772,0.0,1000
201,-12.5,2.598076211353316,0.0,1000
202,-13.0,3.4641016151377544,0.0,1000
203,-12.5,4.330127018922193,0.0,1000
204,-13.0,5.196152422706632,0.0,1000
205,-12.5,6.06217782649107,0.0,1000
206,-13.0,6.928203230275509,0.0,1000
207,-12.5,7.794228634059947,0.0,1000
208,-13.0,8.660254037844386,0.0,1000
209,-12.5,9.526279441628825,0.0,1000
210,-13.0,10.392304845413264,0.0,1000
211,-12.5,11.258330249197702,0.0,1000
212,-13.0,12.12435565298214,0.0,1000
213,-12.5,12.990381056766578,0.0,1000
214,-13.0,13.856406460551018,0.0,1000
215,-12.5,14.722431864335457,0.0,1000
216,-12.0,-15.588457268119894,0.0,1000
217,-11.5,-14.722431864335457,0.0,1000
218,-12.0,-13.856406460551018,0.0,1000
219,-11.5,-12.990381056766578,0.0,1000
220,-12.0,-12.12435565298214,0.0,1000
221,-11.5,-11.258330249197702,0.0,1000
222,-12.0,-10.392304845413264,0.0,1000
223,-11.5,-9.526279441628825,0.0,1000
224,-12.0,-8.660254037844386,0.0,1000
225,-11.5,-7.794228634059947,0.0,1000
226,-12.0,-6.928203230275509,0.0,1000
227,-11.5,-6.06217782649107,0.0,1000
228,-12.0,-5.196152422706632,0.0,1000
229,-11.5,-4.330127018922193,0.0,1000
230,-12.0,-3.4641016151377544,0.0,1000
231,-11.5,-2.598076211353316,0.0,1000
232,-12.0,-1.7320508075688772,0.0,1000
233,-11.5,-0.8660254037844386,0.0,1000
234,-12.0,0.0,0.0,1000
235,-11.5,0.8660254037844386,0.0,1000
236,-12.0,1.7320508075688772,0.0,1000
237,-11.5,2.598076211353316,0.0,1000
238,-12.0,3.4641016151377544,0.0,1000
239,-11.5,4.330127018922193,0.0,1000
240,-12.0,5.196152422706632,0.0,1000
241,-11.5,6.06217782649107,0.0,1000
242,-12.0,6.928203230275509,0.0,1000
243,-11.5,7.794228634059947,0.0,1000
244,-12.0,8.660254037844386,0.0,1000
245,-11.5,9.526279441628825,0.0,1000
246,-12.0,10.392304845413264,0.0,1000
247,-11.5,11.258330249197702,0.0,1000
248,-12.0,12.12435565298214,0.0,1000
249,-11.5,12.990381056766578,0.0,1000
250,-12.0,13.856406460551018,0.0,1000
251,-11.5,14.722431864335457,0.0,1000
252,-11.0,-15.588457268119894,0.0,1000
253,-10.5,-14.722431864335457,0.0,1000
254,-11.0,-13.856406460551018,0.0,1000
255,-10.5,-12.990381056766578,0.0,1000
256,-11.0,-12.12435565298214,0.0,1000
257,-10.5,-11.258330249197702,0.0,1000
258,-11.0,-10.392304845413264,0.0,1000
259,-10.5,-9.526279441628825,0.0,1000
260,-11.0,-8.660254037844386,0.0,1000
261,-10.5,-7.794228634059947,0.0,1000
262,-11.0,-6.928203230275509,0.0,1000
263,-10.5,-6.06217782649107,0.0,1000
264,-11.0,-5.196152422706632,0.0,1000
265,-10.5,-4.330127018922193,0.0,1000
266,-11.0,-3.4641016151377544,0.0,1000
267,-10.5,-2.598076211353316,0.0,1000
268,-11.0,-1.7320508075688772,0.0,1000
269,-10.5,-0.8660254037844386,0.0,1000
270,-11.0,0.0,0.0,1000
271,-10.5,0.8660254037844386,0.0,1000
272,-11.0,1.7320508075688772,0.0,1000
273,-10.5,2.598076211353316,0.0,1000
274,-11.0,3.4641016151377544,0.0,1000
275,-10.5,4.330127018922193,0.0,1000
276,-11.0,5.196152422706632,0.0,1000
277,-10.5,6.06217782649107,0.0,1000
278,-11.0,6.928203230275509,0.0,1000
279,-10.5,7.794228634059947,0.0,1000
280,-11.0,8.660254037844386,0.0,1000
281,-10.5,9.526279441628825,0.0,1000
282,-11.0,10.392304845413264,0.0,1000
283,-10.5,11.258330249197702,0.0,1000
284,-11.0,12.12435565298214,0.0,1000
285,-10.5,12.990381056766578,0.0,1000
286,-11.0,13.856406460551018,0.0,1000
287,-10.5,14.722431864335457,0.0,1000
288,-10.0,-15.588457268119894,0.0,1000
289,-9.5,-14.722431864335457,0.0,1000
290,-10.0,-13.856406460551018,0.0,1000
291,-9.5,-12.990381056766578,0.0,1000
292,-10.0,-12.12435565298214,0.0,1000
293,-9.5,-11.258330249197702,0.0,1000
294,-10.0,-10.392304845413264,0.0,1000
295,-9.5,-9.526279441628825,0.0,1000
296,-10.0,-8.660254037844386,0.0,1000
297,-9.5,-7.794228634059947,0.0,1000
298,-10.0,-6.928203230275509,0.0,1000
299,-9.5,-6.06217782649107,0.0,1000
300,-10.0,-5.196152422706632,0.0,1000
301,-9.5,-4.330127018922193,0.0,1000
302,-10.0,-3.4641016151377544,0.0,1000
303,-9.5,-2.598076211353316,0.0,1000
304,-10.0,-1.7320508075688772,0.0,1000
305,-9.5,-0.8660254037844386,0.0,1000
306,-10.0,0.0,0.0,1000
307,-9.5,0.8660254037844386,0.0,1000
308,-10.0,1.7320508075688772,0.0,1000
309,-9.5,2.598076211353316,0.0,1000
310,-10.0,3.4641016151377544,0.0,1000
311,-9.5,4.330127018922193,0.0,1000
312,-10.0,5.196152422706632,0.0,1000
313,-9.5,6.06217782649107,0.0,1000
314,-10.0,6.928203230275509,0.0,1000
315,-9.5,7.794228634059947,0.0,1000
316,-10.0,8.660254037844386,0.0,1000
317,-9.5,9.526279441628825,0.0,1000
318,-10.0,10.392304845413264,0.0,1000
319,-9.5,11.258330249197702,0.0,1000
320,-10.0,12.12435565298214,0.0,1000
321,-9.5,12.990381056766578,0.0,1000
322,-10.0,13.856406460551018,0.0,1000
323,-9.5,14.722431864335457,0.0,1000
324,-9.0,-15.588457268119894,0.0,1000
325,-8.5,-14.722431864335457,0.0,1000
