Node Number,X,Y,Z,Weight
221,-11.5,-11.258330249197702,0,-0.37603515710388474
222,-12.0,-10.392304845413264,0,-0.16577575470081526
223,-11.5,-9.526279441628825,0,0.6995579889100169
224,-12.0,-8.660254037844386,0,0.7890829426997209
225,-11.5,-7.794228634059947,0,0.9702044875563652
226,-12.0,-6.928203230275509,0,0.9608449973168097
227,-11.5,-6.06217782649107,0,0.4201670368266409
228,-12.0,-5.196152422706632,0,0.4884619243543723
229,-11.5,-4.330127018922193,0,-0.2745915388103819
230,-12.0,-3.4641016151377544,0,-0.07630038931085358
231,-11.5,-2.598076211353316,0,-0.7008186577717525
232,-12.0,-1.7320508075688772,0,-0.4277616388179913
233,-11.5,-0.8660254037844386,0,-0.8592532089033494
234,-12.0,0.0,0,-0.5365729180004349
235,-11.5,0.8660254037844386,0,-0.8592532089033494
236,-12.0,1.7320508075688772,0,-0.4277616388179913
237,-11.5,2.598076211353316,0,-0.7008186577717525
238,-12.0,3.4641016151377544,0,-0.07630038931085358
239,-11.5,4.330127018922193,0,-0.2745915388103819
240,-12.0,5.196152422706632,0,0.4884619243543723
241,-11.5,6.06217782649107,0,0.4201670368266409
242,-12.0,6.928203230275509,0,0.9608449973168097
243,-11.5,7.794228634059947,0,0.9702044875563652
244,-12.0,8.660254037844386,0,0.7890829426997209
245,-11.5,9.526279441628825,0,0.6995579889100169
246,-12.0,10.392304845413264,0,-0.16577575470081526
247,-11.5,11.258330249197702,0,-0.37603515710388474
248,-12.0,12.12435565298214,0,-0.9758892681958303
249,-11.5,12.990381056766578,0,-0.9975094208281222
250,-12.0,13.856406460551018,0,-0.4962318613809222
251,-11.5,14.722431864335457,0,-0.16722487140352646
252,-11.0,-15.588457268119894,0,0.22722588922391757
253,-10.5,-14.722431864335457,0,-0.6935567738809054
254,-11.0,-13.856406460551018,0,-0.9159022382375784
255,-10.5,-12.990381056766578,0,-0.8389385087830656
256,-11.0,-12.12435565298214,0,-0.6152809204922437
257,-10.5,-11.258330249197702,0,0.30806548311451204
258,-11.0,-10.392304845413264,0,0.5440171490365727
259,-10.5,-9.526279441628825,0,0.9991888729915472
260,-11.0,-8.660254037844386,0,0.9906073556948704
261,-10.5,-7.794228634059947,0,0.4884619243543723
262,-11.0,-6.928203230275509,0,0.4201670368266409
263,-10.5,-6.06217782649107,0,-0.4277616388179913
264,-11.0,-5.196152422706632,0,-0.390197009595547
265,-10.5,-4.330127018922193,0,-0.9351045301578719
266,-11.0,-3.4641016151377544,0,-0.8592532089033494
267,-10.5,-2.598076211353316,0,-0.9840363888387289
268,-11.0,-1.7320508075688772,0,-0.9902223530348725
269,-10.5,-0.8660254037844386,0,-0.8960877731607045
270,-11.0,0.0,0,-0.9999902065507035
271,-10.5,0.8660254037844386,0,-0.8960877731607045
272,-11.0,1.7320508075688772,0,-0.9902223530348725
273,-10.5,2.598076211353316,0,-0.9840363888387289
274,-11.0,3.4641016151377544,0,-0.8592532089033494
275,-10.5,4.330127018922193,0,-0.9351045301578719
276,-11.0,5.196152422706632,0,-0.390197009595547
277,-10.5,6.06217782649107,0,-0.4277616388179913
278,-11.0,6.928203230275509,0,0.4201670368266409
279,-10.5,7.794228634059947,0,0.4884619243543723
280,-11.0,8.660254037844386,0,0.9906073556948704
281,-10.5,9.526279441628825,0,0.9991888729915472
282,-11.0,10.392304845413264,0,0.5440171490365727
283,-10.5,11.258330249197702,0,0.30806548311451204
284,-11.0,12.12435565298214,0,-0.6152809204922437
285,-10.5,12.990381056766578,0,-0.8389385087830656
286,-11.0,13.856406460551018,0,-0.9159022382375784
287,-10.5,14.722431864335457,0,-0.6935567738809054
288,-10.0,-15.588457268119894,0,-0.3233776384465223
289,-9.5,-14.722431864335457,0,-0.97070324181809
290,-10.0,-13.856406460551018,0,-0.9818619158392312
291,-9.5,-12.990381056766578,0,-0.37603515710388474
292,-10.0,-12.12435565298214,0,-0.008270283271942394
293,-9.5,-11.258330249197702,0,0.8288468531038243
294,-10.0,-10.392304845413264,0,0.9596509227929731
295,-9.5,-9.526279441628825,0,0.775340096249282
296,-10.0,-8.660254037844386,0,0.6149999798625871
297,-9.5,-7.794228634059947,0,-0.2745915388103819
298,-10.0,-6.928203230275509,0,-0.390197009595547
299,-9.5,-6.06217782649107,0,-0.9627359254943261
300,-10.0,-5.196152422706632,0,-0.9627359254943261
301,-9.5,-4.330127018922193,0,-0.8497593056327711
302,-10.0,-3.4641016151377544,0,-0.91609375282783
303,-9.5,-2.598076211353316,0,-0.41148230684214054
304,-10.0,-1.7320508075688772,0,-0.6624717155863971
305,-9.5,-0.8660254037844386,0,-0.11436328251776044
306,-10.0,0.0,0,-0.5440211108893698
307,-9.5,0.8660254037844386,0,-0.11436328251776044
308,-10.0,1.7320508075688772,0,-0.6624717155863971
309,-9.5,2.598076211353316,0,-0.41148230684214054
310,-10.0,3.4641016151377544,0,-0.91609375282783
311,-9.5,4.330127018922193,0,-0.8497593056327711
312,-10.0,5.196152422706632,0,-0.9627359254943261
313,-9.5,6.06217782649107,0,-0.9627359254943261
314,-10.0,6.928203230275509,0,-0.390197009595547
315,-9.5,7.794228634059947,0,-0.2745915388103819
316,-10.0,8.660254037844386,0,0.6149999798625871
317,-9.5,9.526279441628825,0,0.775340096249282
318,-10.0,10.392304845413264,0,0.9596509227929731
319,-9.5,11.258330249197702,0,0.8288468531038243
320,-10.0,12.12435565298214,0,-0.008270283271942394
321,-9.5,12.990381056766578,0,-0.37603515710388474
322,-10.0,13.856406460551018,0,-0.9818619158392312
323,-9.5,14.722431864335457,0,-0.97070324181809
324,-9.0,-15.588457268119894,0,-0.7509872467716762
325,-8.5,-14.722431864335457,0,-0.9613974918795568
326,-9.0,-13.856406460551018,0,-0.7275529931805939
327,-8.5,-12.990381056766578,0,0.18275564204117736
328,-9.0,-12.12435565298214,0,0.5714686337356
329,-8.5,-11.258330249197702,0,0.9995370140218665
330,-9.0,-10.392304845413264,0,0.9251218748966521
331,-8.5,-9.526279441628825,0,0.19942854871411905
332,-9.0,-8.660254037844386,0,-0.07630038931085358
333,-8.5,-7.794228634059947,0,-0.8592532089033494
334,-9.0,-6.928203230275509,0,-0.9351045301578719
335,-8.5,-6.06217782649107,0,-0.8497593056327711
336,-9.0,-5.196152422706632,0,-0.8234851411895028
337,-8.5,-4.330127018922193,0,-0.11436328251776044
338,-9.0,-3.4641016151377544,0,-0.2171294532881064
339,-8.5,-2.598076211353316,0,0.5112026723746665
340,-9.0,-1.7320508075688772,0,0.25671965579502604
341,-8.5,-0.8660254037844386,0,0.7712319401165738
342,-9.0,0.0,0,0.4121184852417566
343,-8.5,0.8660254037844386,0,0.7712319401165738
344,-9.0,1.7320508075688772,0,0.25671965579502604
345,-8.5,2.598076211353316,0,0.5112026723746665
346,-9.0,3.4641016151377544,0,-0.2171294532881064
347,-8.5,4.330127018922193,0,-0.11436328251776044
348,-9.0,5.196152422706632,0,-0.8234851411895028
349,-8.5,6.06217782649107,0,-0.8497593056327711
350,-9.0,6.928203230275509,0,-0.9351045301578719
351,-8.5,7.794228634059947,0,-0.8592532089033494
352,-9.0,8.660254037844386,0,-0.07630038931085358
353,-8.5,9.526279441628825,0,0.19942854871411905
354,-9.0,10.392304845413264,0,0.9251218748966521
355,-8.5,11.258330249197702,0,0.9995370140218665
356,-9.0,12.12435565298214,0,0.5714686337356
357,-8.5,12.990381056766578,0,0.18275564204117736
358,-9.0,13.856406460551018,0,-0.7275529931805939
359,-8.5,14.722431864335457,0,-0.9613974918795568
360,-8.0,-15.588457268119894,0,-0.97070324181809
361,-7.5,-14.722431864335457,0,-0.7275529931805939
362,-8.0,-13.856406460551018,0,-0.2879033166650636
363,-7.5,-12.990381056766578,0,0.6502878401571182
364,-8.0,-12.12435565298214,0,0.9254130944879525
365,-7.5,-11.258330249197702,0,0.8199814694989864
366,-8.0,-10.392304845413264,0,0.5214133449832696
367,-7.5,-9.526279441628825,0,-0.4277616388179913
368,-8.0,-8.660254037844386,0,-0.7008186577717525
369,-7.5,-7.794228634059947,0,-0.9840363888387289
370,-8.0,-6.928203230275509,0,-0.91609375282783
371,-7.5,-6.06217782649107,0,-0.2171294532881064
372,-8.0,-5.196152422706632,0,-0.11436328251776044
373,-7.5,-4.330127018922193,0,0.6921934864921443
374,-8.0,-3.4641016151377544,0,0.6495406051742723
375,-7.5,-2.598076211353316,0,0.9965348651358744
376,-8.0,-1.7320508075688772,0,0.9455971467020855
377,-7.5,-0.8660254037844386,0,0.9541026960936245
378,-8.0,0.0,0,0.9893582466233818
379,-7.5,0.8660254037844386,0,0.9541026960936245
380,-8.0,1.7320508075688772,0,0.9455971467020855
381,-7.5,2.598076211353316,0,0.9965348651358744
382,-8.0,3.4641016151377544,0,0.6495406051742723
383,-7.5,4.330127018922193,0,0.6921934864921443
384,-8.0,5.196152422706632,0,-0.11436328251776044
385,-7.5,6.06217782649107,0,-0.2171294532881064
386,-8.0,6.928203230275509,0,-0.91609375282783
387,-7.5,7.794228634059947,0,-0.9840363888387289
388,-8.0,8.660254037844386,0,-0.7008186577717525
389,-7.5,9.526279441628825,0,-0.4277616388179913
390,-8.0,10.392304845413264,0,0.5214133449832696
391,-7.5,11.258330249197702,0,0.8199814694989864
392,-8.0,12.12435565298214,0,0.9254130944879525
393,-7.5,12.990381056766578,0,0.6502878401571182
394,-8.0,13.856406460551018,0,-0.2879033166650636
395,-7.5,14.722431864335457,0,-0.7275529931805939
396,-7.0,-15.588457268119894,0,-0.9818619158392312
397,-6.5,-14.722431864335457,0,-0.37603515710388474
398,-7.0,-13.856406460551018,0,0.18275564204117736
399,-6.5,-12.990381056766578,0,0.9254130944879525
400,-7.0,-12.12435565298214,0,0.9906073556948704
401,-6.5,-11.258330249197702,0,0.4201670368266409
402,-7.0,-10.392304845413264,0,-0.03639848633421769
403,-6.5,-9.526279441628825,0,-0.8592532089033494
404,-7.0,-8.660254037844386,0,-0.9902223530348725
405,-6.5,-7.794228634059947,0,-0.6624717155863971
406,-7.0,-6.928203230275509,0,-0.41148230684214054
407,-6.5,-6.06217782649107,0,0.5112026723746665
408,-7.0,-5.196152422706632,0,0.6495406051742723
409,-6.5,-4.330127018922193,0,0.9990439103118804
410,-7.0,-3.4641016151377544,0,0.9990439103118804
411,-6.5,-2.598076211353316,0,0.6569865987187891
412,-7.0,-1.7320508075688772,0,0.8003730606575937
413,-6.5,-0.8660254037844386,0,0.27082813864559213
414,-7.0,0.0,0,0.6569865987187891
415,-6.5,0.8660254037844386,0,0.27082813864559213
416,-7.0,1.7320508075688772,0,0.8003730606575937
417,-6.5,2.598076211353316,0,0.6569865987187891
418,-7.0,3.4641016151377544,0,0.9990439103118804
419,-6.5,4.330127018922193,0,0.9990439103118804
420,-7.0,5.196152422706632,0,0.6495406051742723
421,-6.5,6.06217782649107,0,0.5112026723746665
422,-7.0,6.928203230275509,0,-0.41148230684214054
423,-6.5,7.794228634059947,0,-0.6624717155863971
424,-7.0,8.660254037844386,0,-0.9902223530348725
425,-6.5,9.526279441628825,0,-0.8592532089033494
426,-7.0,10.392304845413264,0,-0.03639848633421769
427,-6.5,11.258330249197702,0,0.4201670368266409
428,-7.0,12.12435565298214,0,0.9906073556948704
429,-6.5,12.990381056766578,0,0.9254130944879525
430,-7.0,13.856406460551018,0,0.18275564204117736
431,-6.5,14.722431864335457,0,-0.37603515710388474
432,-6.0,-15.588457268119894,0,-0.8389385087830656
433,-5.5,-14.722431864335457,0,-0.008270283271942394
434,-6.0,-13.856406460551018,0,0.5714686337356014
435,-5.5,-12.990381056766578,0,0.9995370140218665
436,-6.0,-12.12435565298214,0,0.8199814694989864
437,-5.5,-11.258330249197702,0,-0.03639848633421769
438,-6.0,-10.392304845413264,0,-0.5365729180004349
439,-5.5,-9.526279441628825,0,-0.9999902065507035
440,-6.0,-8.660254037844386,0,-0.8960877731607045
441,-5.5,-7.794228634059947,0,-0.11436328251776044
442,-6.0,-6.928203230275509,0,0.25671965579502604
443,-5.5,-6.06217782649107,0,0.9455971467020855
444,-6.0,-5.196152422706632,0,0.9965348651358744
445,-5.5,-4.330127018922193,0,0.6569865987187891
446,-6.0,-3.4641016151377544,0,0.601212760759251
447,-5.5,-2.598076211353316,0,-0.19908366251892284
448,-6.0,-1.7320508075688772,0,-0.03817802821991684
449,-5.5,-0.8660254037844386,0,-0.655935210835253
450,-6.0,0.0,0,-0.27941549819892586
451,-5.5,0.8660254037844386,0,-0.655935210835253
452,-6.0,1.7320508075688772,0,-0.03817802821991684
453,-5.5,2.598076211353316,0,-0.19908366251892284
454,-6.0,3.4641016151377544,0,0.601212760759251
455,-5.5,4.330127018922193,0,0.6569865987187891
456,-6.0,5.196152422706632,0,0.9965348651358744
457,-5.5,6.06217782649107,0,0.9455971467020855
458,-6.0,6.928203230275509,0,0.25671965579502604
459,-5.5,7.794228634059947,0,-0.11436328251776044
460,-6.0,8.660254037844386,0,-0.8960877731607045
461,-5.5,9.526279441628825,0,-0.9999902065507035
462,-6.0,10.392304845413264,0,-0.5365729180004349
463,-5.5,11.258330249197702,0,-0.03639848633421769
464,-6.0,12.12435565298214,0,0.8199814694989864
465,-5.5,12.990381056766578,0,0.9995370140218665
466,-6.0,13.856406460551018,0,0.5714686337356014
467,-5.5,14.722431864335457,0,-0.008270283271942394
468,-5.0,-15.588457268119894,0,-0.6152809204922437
469,-4.5,-14.722431864335457,0,0.30806548311451204
470,-5.0,-13.856406460551018,0,0.8288468531038243
471,-4.5,-12.990381056766578,0,0.9251218748966514
472,-5.0,-12.12435565298214,0,0.5214133449832696
473,-4.5,-11.258330249197702,0,-0.4277616388179913
474,-5.0,-10.392304845413264,0,-0.8592532089033494
475,-4.5,-9.526279441628825,0,-0.8960877731607045
476,-5.0,-8.660254037844386,0,-0.5440211108893698
477,-4.5,-7.794228634059947,0,0.4121184852417566
478,-5.0,-6.928203230275509,0,0.7712319401165738
479,-4.5,-6.06217782649107,0,0.9541026960936245
480,-5.0,-5.196152422706632,0,0.8003730606575937
481,-4.5,-4.330127018922193,0,-0.03817802821991684
482,-5.0,-3.4641016151377544,0,-0.19908366251892284
483,-4.5,-2.598076211353316,0,-0.8852507661210228
484,-5.0,-1.7320508075688772,0,-0.8369480668167212
485,-4.5,-0.8660254037844386,0,-0.9915860810139135
486,-5.0,0.0,0,-0.9589242746631385
487,-4.5,0.8660254037844386,0,-0.9915860810139135
488,-5.0,1.7320508075688772,0,-0.8369480668167212
489,-4.5,2.598076211353316,0,-0.8852507661210228
490,-5.0,3.4641016151377544,0,-0.19908366251892284
491,-4.5,4.330127018922193,0,-0.03817802821991684
492,-5.0,5.196152422706632,0,0.8003730606575937
493,-4.5,6.06217782649107,0,0.9541026960936245
494,-5.0,6.928203230275509,0,0.7712319401165738
495,-4.5,7.794228634059947,0,0.4121184852417566
496,-5.0,8.660254037844386,0,-0.5440211108893698
497,-4.5,9.526279441628825,0,-0.8960877731607045
498,-5.0,10.392304845413264,0,-0.8592532089033494
499,-4.5,11.258330249197702,0,-0.4277616388179913
500,-5.0,12.12435565298214,0,0.5214133449832696
501,-4.5,12.990381056766578,0,0.9251218748966514
502,-5.0,13.856406460551018,0,0.8288468531038243
503,-4.5,14.722431864335457,0,0.30806548311451204
504,-4.0,-15.588457268119894,0,-0.37603515710388474
